test_id,robot_count,mission_size,inventory_id,scenario,mode,completion_time,average_idle_time
test_2_2_t_logistics_i1_bl1,2,2,1,logistics,bl1,108.00995516777039,54.72991943359375
test_10_2_t_surveillance_i1_bl0,10,2,1,surveillance,bl0,109.50202989578247,98.08990366458893
test_2_10_t_logistics_i2_bl1,2,10,2,logistics,bl1,523.5020895004272,255.59413492679596
test_2_20_t_agriculture_i2_bl2,2,20,2,agriculture,bl2,930.0109369754791,454.9577736854553
test_2_20_t_surveillance_i1_bl2,2,20,1,surveillance,bl2,756.0106809139252,376.4937697649002
test_10_10_t_cleaning_i2_bl2,10,10,2,cleaning,bl2,435.04051756858826,391.8331088781357
test_2_20_t_agriculture_i0_bl2,2,20,0,agriculture,bl2,858.0102708339691,422.1977436542511
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,109.51231729984283
test_10_10_t_logistics_i2_multi3,10,10,2,logistics,multi3,339.0405285358429,269.8114033699036
test_5_20_t_cleaning_i2_multi3,5,20,2,cleaning,multi3,303.02234983444214,90.00716915130616
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,111.28496627807617
test_10_20_t_cleaning_i2_bl0,10,20,2,cleaning,bl0,822.0401456356049,739.3791439294815
test_5_2_t_logistics_i0_bl0,5,2,0,logistics,bl0,168.02205300331116,134.3967074871063
test_5_10_t_surveillance_i2_bl0,5,10,2,surveillance,bl0,409.50212025642395,329.02570123672484
test_2_20_t_cleaning_i0_multi3,2,20,0,cleaning,multi3,573.010856628418,16.510517716407776
test_10_20_t_agriculture_i1_multi3,10,20,1,agriculture,multi3,151.50147247314453,64.27803432941437
test_10_20_t_agriculture_i2_bl2,10,20,2,agriculture,bl2,786.0410203933716,704.0246942281723
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,730.6754271030426
test_5_10_t_logistics_i1_multi3,5,10,1,logistics,multi3,414.0223956108093,273.8620313167572
test_10_2_t_cleaning_i1_multi3,10,2,1,cleaning,multi3,82.50204420089722,69.74886765480042
test_2_10_t_agriculture_i0_bl1,2,10,0,agriculture,bl1,463.50202655792236,221.92835533618927
test_10_10_t_agriculture_i2_bl2,10,10,2,agriculture,bl2,432.040100812912,388.0786992788315
test_5_10_t_cleaning_i2_bl1,5,10,2,cleaning,bl1,526.5020711421967,419.63189702034
